0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:52:27 +0900] "POST /%EC%95%BD%EA%B5%AD/backup.jsp HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:52:27 +0900] "POST /%EC%95%BD%EA%B5%AD/backup.jsp HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:52:27 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:52:27 +0900] "GET /%EC%95%BD%EA%B5%AD/salesRegistration.jsp HTTP/1.1" 200 98139
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:52:27 +0900] "POST /%EC%95%BD%EA%B5%AD/backup.jsp HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:52:27 +0900] "POST /%EC%95%BD%EA%B5%AD/backup.jsp HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:52:27 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:52:28 +0900] "POST /%EC%95%BD%EA%B5%AD/searchMedicine2.jsp HTTP/1.1" 200 2961
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:52:29 +0900] "GET /%EC%95%BD%EA%B5%AD/addProduct.jsp?medicineName=sdafasd HTTP/1.1" 200 4053
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:52:31 +0900] "GET /%EC%95%BD%EA%B5%AD/salesRegistration.jsp HTTP/1.1" 200 98139
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:52:31 +0900] "POST /%EC%95%BD%EA%B5%AD/backup.jsp HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:52:31 +0900] "POST /%EC%95%BD%EA%B5%AD/backup.jsp HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:52:31 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:52:32 +0900] "GET /%EC%95%BD%EA%B5%AD/salesRegistration.jsp HTTP/1.1" 200 98139
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:52:32 +0900] "POST /%EC%95%BD%EA%B5%AD/backup.jsp HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:52:32 +0900] "POST /%EC%95%BD%EA%B5%AD/backup.jsp HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:52:32 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:52:32 +0900] "GET /%EC%95%BD%EA%B5%AD/salesRegistration.jsp HTTP/1.1" 200 98139
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:52:32 +0900] "POST /%EC%95%BD%EA%B5%AD/backup.jsp HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:52:32 +0900] "POST /%EC%95%BD%EA%B5%AD/backup.jsp HTTP/1.1" 200 22
